#v / cm^-1	Intensity / AU
2312	5.90E-05
2311	5.91E-05
2310	5.93E-05
2309	5.94E-05
2308	5.95E-05
2307	5.97E-05
2306	5.98E-05
2305	6.00E-05
2304	6.01E-05
2303	6.03E-05
2302	6.04E-05
2301	6.06E-05
2300	6.07E-05
2299	6.08E-05
2298	6.10E-05
2297	6.11E-05
2296	6.13E-05
2295	6.14E-05
2294	6.16E-05
2293	6.17E-05
2292	6.19E-05
2291	6.20E-05
2290	6.22E-05
2289	6.23E-05
2288	6.25E-05
2287	6.26E-05
2286	6.28E-05
2285	6.29E-05
2284	6.31E-05
2283	6.33E-05
2282	6.34E-05
2281	6.36E-05
2280	6.37E-05
2279	6.39E-05
2278	6.40E-05
2277	6.42E-05
2276	6.44E-05
2275	6.45E-05
2274	6.47E-05
2273	6.48E-05
2272	6.50E-05
2271	6.52E-05
2270	6.53E-05
2269	6.55E-05
2268	6.57E-05
2267	6.58E-05
2266	6.60E-05
2265	6.62E-05
2264	6.63E-05
2263	6.65E-05
2262	6.67E-05
2261	6.68E-05
2260	6.70E-05
2259	6.72E-05
2258	6.73E-05
2257	6.75E-05
2256	6.77E-05
2255	6.79E-05
2254	6.80E-05
2253	6.82E-05
2252	6.84E-05
2251	6.86E-05
2250	6.87E-05
2249	6.89E-05
2248	6.91E-05
2247	6.93E-05
2246	6.94E-05
2245	6.96E-05
2244	6.98E-05
2243	7.00E-05
2242	7.02E-05
2241	7.04E-05
2240	7.05E-05
2239	7.07E-05
2238	7.09E-05
2237	7.11E-05
2236	7.13E-05
2235	7.15E-05
2234	7.17E-05
2233	7.18E-05
2232	7.20E-05
2231	7.22E-05
2230	7.24E-05
2229	7.26E-05
2228	7.28E-05
2227	7.30E-05
2226	7.32E-05
2225	7.34E-05
2224	7.36E-05
2223	7.38E-05
2222	7.40E-05
2221	7.42E-05
2220	7.44E-05
2219	7.46E-05
2218	7.48E-05
2217	7.50E-05
2216	7.52E-05
2215	7.54E-05
2214	7.56E-05
2213	7.58E-05
2212	7.60E-05
2211	7.62E-05
2210	7.64E-05
2209	7.66E-05
2208	7.68E-05
2207	7.71E-05
2206	7.73E-05
2205	7.75E-05
2204	7.77E-05
2203	7.79E-05
2202	7.81E-05
2201	7.83E-05
2200	7.86E-05
2199	7.88E-05
2198	7.90E-05
2197	7.92E-05
2196	7.94E-05
2195	7.97E-05
2194	7.99E-05
2193	8.01E-05
2192	8.03E-05
2191	8.06E-05
2190	8.08E-05
2189	8.10E-05
2188	8.12E-05
2187	8.15E-05
2186	8.17E-05
2185	8.19E-05
2184	8.22E-05
2183	8.24E-05
2182	8.26E-05
2181	8.29E-05
2180	8.31E-05
2179	8.34E-05
2178	8.36E-05
2177	8.38E-05
2176	8.41E-05
2175	8.43E-05
2174	8.46E-05
2173	8.48E-05
2172	8.51E-05
2171	8.53E-05
2170	8.56E-05
2169	8.58E-05
2168	8.61E-05
2167	8.63E-05
2166	8.66E-05
2165	8.68E-05
2164	8.71E-05
2163	8.73E-05
2162	8.76E-05
2161	8.78E-05
2160	8.81E-05
2159	8.84E-05
2158	8.86E-05
2157	8.89E-05
2156	8.92E-05
2155	8.94E-05
2154	8.97E-05
2153	9.00E-05
2152	9.02E-05
2151	9.05E-05
2150	9.08E-05
2149	9.11E-05
2148	9.13E-05
2147	9.16E-05
2146	9.19E-05
2145	9.22E-05
2144	9.24E-05
2143	9.27E-05
2142	9.30E-05
2141	9.33E-05
2140	9.36E-05
2139	9.39E-05
2138	9.42E-05
2137	9.44E-05
2136	9.47E-05
2135	9.50E-05
2134	9.53E-05
2133	9.56E-05
2132	9.59E-05
2131	9.62E-05
2130	9.65E-05
2129	9.68E-05
2128	9.71E-05
2127	9.74E-05
2126	9.77E-05
2125	9.80E-05
2124	9.84E-05
2123	9.87E-05
2122	9.90E-05
2121	9.93E-05
2120	9.96E-05
2119	9.99E-05
2118	0.000100248
2117	0.000100569
2116	0.000100891
2115	0.000101215
2114	0.00010154
2113	0.000101867
2112	0.000102196
2111	0.000102527
2110	0.000102859
2109	0.000103193
2108	0.000103528
2107	0.000103866
2106	0.000104205
2105	0.000104546
2104	0.000104888
2103	0.000105233
2102	0.000105579
2101	0.000105927
2100	0.000106276
2099	0.000106628
2098	0.000106981
2097	0.000107337
2096	0.000107694
2095	0.000108053
2094	0.000108414
2093	0.000108777
2092	0.000109141
2091	0.000109508
2090	0.000109877
2089	0.000110247
2088	0.00011062
2087	0.000110994
2086	0.000111371
2085	0.000111749
2084	0.00011213
2083	0.000112513
