"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"396","812.0832","0.0001","0.0"
"397","812.1023","0.0","0.0"
"398","812.1048","0.0001","0.0"
"399","812.2393","0.0","0.0"
"400","817.1178","0.0","0.0"
"401","818.7935","0.0003","0.0"
"402","819.6377","0.0","0.0"
"403","824.4023","0.0001","0.0001"
"404","824.7791","0.0001","0.0"
"405","824.9875","0.0005","0.0002"
"406","825.7909","0.0","0.0"
"407","825.9357","0.0","0.0"
"408","837.9773","0.5418","0.0026"
"409","839.5074","0.0001","0.0"
"410","839.7106","0.1494","0.0091"
"411","840.6369","0.0003","0.0"
"412","840.671","0.0023","0.0002"
"413","841.2805","0.0","0.0"
"414","844.9702","0.0","0.0"
"415","848.4131","0.0005","0.0"
"416","848.5841","0.0004","0.0"
"417","848.6271","0.0012","0.0"
"418","854.3592","1.3585","0.0"
"419","854.3664","1.3576","0.0"
"420","866.7651","6.5635","0.0003"
"421","869.7018","0.0275","0.0"
"422","874.2238","0.0119","0.0"
"423","876.7976","1.0198","0.0"
"424","876.8691","1.0296","0.0"
"425","877.6559","0.0061","0.0"
"426","877.6888","0.0062","0.0"
"427","882.4951","0.0","0.0"
"428","883.0198","0.0","0.0"
"429","884.0566","0.0004","0.0042"
"430","884.2123","0.0001","0.0"
"431","885.8388","0.0002","0.0"
"432","886.0525","0.0008","0.0"
"433","886.0558","0.0019","0.0"
"434","887.0988","0.0","0.0"
"435","887.2218","0.0","0.0"
"436","887.248","0.0","0.0"
"437","887.249","0.0","0.0"
"438","887.3582","0.0","0.0"
"439","887.4956","0.0","0.0"
"440","887.6233","0.0","0.0"
"441","887.6246","0.0","0.0"
"442","888.1899","0.0","0.0"
"443","889.0543","0.0008","0.0001"
"444","889.0832","0.0","0.0"
"445","889.0832","0.0","0.0"
"446","889.2502","0.0","0.0"
"447","889.2504","0.0","0.0"
"448","892.8487","0.0","0.0"
"449","892.9461","0.0008","0.0"
"450","892.9735","0.0003","0.0"
"451","893.4405","0.0015","0.0"
"452","893.8373","0.0052","0.023"
"453","895.5751","0.6292","0.0"
"454","895.5914","0.6289","0.0"
"455","897.0065","0.0004","0.0"
"456","897.0163","0.0002","0.0"
"457","898.1345","0.0001","0.0605"
"458","900.5333","0.0001","0.0"
"459","903.6874","0.0","0.0"
"460","907.417","0.0001","0.0"
"461","925.2075","0.0446","0.0"
"462","925.2075","0.0446","0.0"
"463","925.3069","0.0","0.0"
"464","925.3069","0.0","0.0"
"465","927.8087","0.0003","0.0"
"466","927.8757","0.0004","0.0"
"467","927.8901","0.0","0.0"
"468","927.9879","0.0","0.0"
"469","928.0331","0.0008","0.0"
"470","928.1474","0.019","0.0"
"471","928.1639","0.0175","0.0"
"472","928.4931","0.0","0.0"
"473","962.6236","0.0016","0.0"
"474","962.6239","0.0016","0.0"
"475","962.7193","0.0","0.0"
"476","962.7194","0.0","0.0"
"477","966.2729","0.0","0.0"
"478","966.8059","0.0","0.0"
"479","966.809","0.0","0.0"
"480","967.0528","0.0","0.0"
