"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"430","1480.868","0.0358","0.0"
"431","1480.868","0.0358","0.0"
"432","1481.8213","0.0","0.0"
"433","1540.5752","0.0","0.0"
"434","1540.5753","0.0","0.0"
"435","1540.6022","0.0","0.0"
"436","1540.6023","0.0","0.0"
"437","1540.6023","0.0","0.0"
"438","1540.6954","0.0","0.235"
"439","1614.8845","0.0","0.0"
"440","1614.8846","0.0","0.0"
"441","1614.8846","0.0","0.0"
"442","1614.9043","0.0","0.0"
"443","1614.9043","0.0","0.0"
"444","1614.9044","0.0","0.0"
"445","1627.9093","0.0","0.0"
"446","1627.9093","0.0","0.0"
"447","1627.9094","0.0","0.0"
"448","1627.9902","0.7491","0.0"
"449","1627.9902","0.7491","0.0"
"450","1627.9903","0.7491","0.0"
"451","2945.0419","0.0","0.0"
"452","2945.0419","0.0","0.0"
"453","2945.0419","0.0","0.0"
"454","2945.0799","0.0","0.0"
"455","2945.0799","0.0","0.0"
"456","2945.0799","0.0","0.0"
"457","2946.0303","0.0","0.0"
"458","2946.0303","0.0","0.0"
"459","2946.0427","0.0127","0.0"
"460","2946.0427","0.0127","0.0"
"461","2946.0427","0.0127","0.0"
"462","2946.0797","0.0","0.0"
"463","2946.3968","0.0","0.0"
"464","2946.3968","0.0","0.0"
"465","2946.3968","0.0","0.0"
"466","2946.668","0.1445","0.0"
"467","2946.668","0.1445","0.0"
"468","2946.668","0.1445","0.0"
"469","2947.2961","0.0","0.0"
"470","2947.2961","0.0","0.0"
"471","2947.2961","0.0","0.0"
"472","2947.4725","0.0","0.0"
"473","2947.4725","0.0","0.0"
"474","2947.4725","0.0","0.0"
"475","2947.6753","0.0","0.0"
"476","2947.6753","0.0","0.0"
"477","2947.7445","0.0","0.0"
"478","2947.7445","0.0","0.0"
"479","2947.7637","0.0","0.0"
"480","2947.7637","0.0","0.0"
"481","2947.7637","0.0","0.0"
"482","2947.845","0.0219","0.0"
"483","2947.845","0.0219","0.0"
"484","2947.845","0.0219","0.0"
"485","2947.8672","0.0","11.5835"
"486","2948.003","0.0","0.0"
"487","2948.9603","0.0","0.0"
"488","2948.9603","0.0","0.0"
"489","2948.9604","0.0","0.0"
"490","2949.0054","0.0211","0.0"
"491","2949.0054","0.0211","0.0"
"492","2949.0054","0.0211","0.0"
"493","2949.5733","0.0","0.0"
"494","2949.5733","0.0","0.0"
"495","2949.5858","0.0","0.0"
"496","2949.5858","0.0","0.0"
"497","2949.5858","0.0","0.0"
"498","2949.6441","0.0","4.748"
